Column1,TIME;,WEAR;,FF;,TEMP
,0.9790;,-14.83;,0.63;,1333.01
,1.9590;,-34.05;,1.82;,1333.38
,3.0500;,-55.89;,3.22;,1333.15
,4.0310;,-74.77;,4.27;,1333.18
,5.0080;,-98.15;,4.75;,1333.09
,5.9910;,-120.66;,4.78;,1333.19
,6.9690;,-136.39;,4.80;,1333.28
,7.9520;,-144.30;,4.78;,1333.17
,8.9290;,-148.67;,4.77;,1332.87
,9.9100;,-148.86;,4.78;,1333.01
,10.8900;,-148.69;,4.80;,1332.99
,11.8700;,-149.45;,4.87;,1333.02
,12.8500;,-149.04;,4.84;,1332.91
,13.8300;,-148.79;,4.91;,1332.71
,14.9200;,-149.73;,4.88;,1332.57
,15.9020;,-148.47;,4.90;,1332.47
,16.8820;,-148.78;,4.90;,1332.81
,17.8630;,-149.07;,4.94;,1332.57
,18.8410;,-148.15;,5.05;,1332.81
,19.8230;,-149.15;,4.98;,1332.92
,20.8010;,-149.77;,5.02;,1332.93
,22.1090;,-149.91;,5.11;,1332.98
,23.0880;,-149.42;,5.11;,1332.72
,24.0710;,-149.38;,5.11;,1332.81
,25.0510;,-150.34;,5.13;,1332.82
,26.0300;,-149.83;,5.13;,1332.91
,27.0100;,-150.14;,5.22;,1333.11
,27.9920;,-150.70;,5.21;,1333.04
,29.6250;,-149.80;,5.24;,1332.66
,30.6040;,-149.12;,5.26;,1332.93
,31.5840;,-149.73;,5.25;,1332.77
,32.5650;,-150.33;,5.38;,1332.77
,33.5460;,-149.89;,5.36;,1332.56
,34.5270;,-151.18;,5.42;,1332.2
,35.5050;,-152.28;,5.44;,1332.1
,36.4860;,-151.62;,5.44;,1332.16
,37.4650;,-152.32;,5.39;,1332.11
,38.4480;,-152.51;,5.31;,1332.01
,39.4260;,-151.86;,5.40;,1332.09
,40.5150;,-152.95;,5.30;,1331.96
,41.4950;,-153.01;,5.44;,1331.94
,42.4760;,-152.65;,5.29;,1332.18
,43.4560;,-153.93;,5.35;,1332.08
,44.5470;,-154.44;,5.39;,1332.11
,45.5260;,-154.52;,5.35;,1332.22
