Column1,TIME;,WEAR;,FF;,TEMP
,0.9790;,-22.46;,0.65;,1333.27
,1.9590;,-56.02;,1.43;,1333.79
,3.0500;,-91.02;,2.40;,1334.19
,4.0310;,-119.16;,3.04;,1334.03
,5.0080;,-161.71;,3.27;,1333.81
,5.9900;,-189.01;,3.29;,1333.81
,7.0780;,-214.04;,3.25;,1333.75
,8.0580;,-240.40;,3.21;,1333.52
,9.0380;,-235.05;,3.61;,1333.87
,10.0190;,-237.65;,4.24;,1333.54
,11.1080;,-235.09;,4.74;,1333.49
,12.0880;,-225.88;,5.68;,1333.66
,13.0690;,-228.32;,6.34;,1333.36
,14.8130;,-217.97;,6.03;,1333.14
,15.7910;,-214.26;,5.26;,1333.02
,16.7730;,-212.84;,5.98;,1333.32
,18.0780;,-212.81;,7.04;,1333.77
,19.0580;,-205.95;,7.64;,1333.89
,20.0380;,-208.25;,7.65;,1334.24
,21.0190;,-206.89;,7.59;,1334.45
,22.2170;,-206.08;,7.59;,1334.25
,23.1980;,-204.28;,7.68;,1333.7
,24.1790;,-201.26;,7.90;,1333.48
,25.1590;,-201.98;,8.02;,1333.37
,26.1380;,-204.77;,8.14;,1333.49
,27.1190;,-197.12;,8.38;,1333.43
,28.1000;,-203.53;,6.19;,1333.07
,29.0780;,-200.16;,4.15;,1333.45
,30.0590;,-206.36;,3.68;,1333.73
,31.0380;,-217.36;,4.43;,1333.25
,32.0190;,-216.66;,3.99;,1333.38
,33.1080;,-223.56;,3.52;,1333.53
,34.0880;,-232.65;,3.27;,1333.42
,35.0710;,-237.67;,3.26;,1333.34
,36.1590;,-243.63;,3.28;,1333.42
,37.1400;,-242.00;,3.35;,1333.27
,38.1180;,-245.00;,3.33;,1333.33
,39.1000;,-242.40;,3.34;,1333.33
,40.0780;,-242.85;,3.29;,1333.11
,41.0610;,-245.26;,3.27;,1333.03
,42.0390;,-237.97;,3.30;,1333.38
,43.0190;,-244.51;,3.22;,1333.38
,44.1090;,-240.10;,3.22;,1333.51
,45.0880;,-238.80;,3.19;,1333.21
,46.0690;,-244.39;,3.16;,1332.78
,47.1570;,-238.90;,3.22;,1333
,48.1400;,-240.55;,3.21;,1333.02
,49.1200;,-242.15;,3.20;,1333.42
,50.0990;,-241.83;,3.18;,1333.08
,51.1880;,-244.16;,3.12;,1333.11
,52.1680;,-238.46;,3.12;,1332.71
,53.1480;,-243.30;,3.04;,1332.52
,54.1280;,-241.30;,3.11;,1332.8
,55.2190;,-239.73;,3.11;,1332.76
,56.1980;,-243.05;,3.12;,1333.03
,57.1800;,-237.50;,3.17;,1333.07
,58.2690;,-241.07;,3.12;,1332.84
,59.2490;,-242.37;,3.12;,1332.94
,60.2300;,-237.13;,3.07;,1332.28
,61.2070;,-242.32;,3.03;,1332.35
,62.5150;,-238.46;,3.01;,1332.3
,63.4940;,-236.31;,3.02;,1332.36
,64.4750;,-241.44;,2.98;,1332.89
,65.4570;,-236.45;,3.04;,1333.01
,66.4380;,-238.08;,3.03;,1333.16
,67.4150;,-237.73;,3.13;,1333.9
,68.3980;,-238.89;,3.14;,1334.05
,69.9210;,-239.53;,3.16;,1333.91
,70.9010;,-239.83;,3.14;,1333.99
,71.8810;,-236.78;,3.12;,1333.94
,72.8620;,-241.09;,3.12;,1334.32
,73.8420;,-236.47;,3.16;,1334.11
,74.8230;,-241.38;,3.12;,1333.42
,75.8040;,-238.39;,3.20;,1333.43
,76.7840;,-237.93;,3.17;,1333.41
,77.7630;,-242.65;,3.17;,1333.77
,78.7440;,-235.86;,3.18;,1333.85
,79.7250;,-242.14;,3.07;,1333.41
,80.8120;,-238.16;,3.04;,1333.47
,81.7920;,-237.20;,2.98;,1333.62
,82.7730;,-240.53;,3.02;,1333.05
,83.7530;,-234.93;,3.13;,1333.27
,84.8440;,-237.92;,3.16;,1333.05
,85.8230;,-237.09;,3.22;,1333.23
,86.8020;,-236.31;,3.23;,1333.4
,87.7840;,-239.53;,3.27;,1333.94
,88.7650;,-235.10;,3.33;,1334.18
,89.7430;,-240.06;,3.28;,1334.37
,90.7230;,-235.71;,3.30;,1334.33
,92.1410;,-236.51;,3.25;,1334.4
,93.1190;,-239.35;,3.20;,1334.3
,94.1020;,-234.42;,3.23;,1334.52
,95.0800;,-234.98;,3.18;,1334.67
,96.0620;,-239.22;,3.15;,1334.33
,97.0420;,-232.94;,3.14;,1334.17
,98.0230;,-239.77;,3.04;,1333.58
