Column1,TIME;,WEAR;,FF;,TEMP
,0.9810;,-7.45;,0.38;,1333
,2.0690;,-8.16;,1.06;,1333.05
,3.0500;,-10.43;,2.66;,1333.03
,4.0300;,-15.70;,3.92;,1333.08
,5.0100;,-16.27;,4.31;,1333.44
,6.1000;,-18.97;,4.31;,1333.37
,7.0800;,-18.69;,4.12;,1333.18
,8.0620;,-15.40;,4.03;,1333.12
,9.5850;,-12.79;,3.96;,1333.18
,10.5650;,-15.99;,3.99;,1332.88
,11.5450;,-14.69;,4.42;,1333.19
,12.7450;,-11.88;,4.26;,1333.08
,13.7260;,-9.85;,4.17;,1333.03
,14.7030;,-16.65;,4.11;,1332.85
,15.6840;,-14.09;,4.20;,1333.08
,16.8820;,-11.54;,3.93;,1333.32
,17.8620;,-9.21;,4.15;,1332.97
,18.8430;,-10.33;,4.94;,1332.98
,19.8220;,-10.24;,5.68;,1333.32
,20.9140;,-7.81;,5.25;,1333.27
,21.8930;,-2.08;,5.10;,1333.22
,22.8740;,-4.71;,5.19;,1333.26
,23.8550;,-4.04;,5.01;,1333.12
,24.8350;,-1.75;,4.63;,1333.26
,25.8150;,-4.27;,4.16;,1333.64
,26.7930;,-10.94;,3.93;,1333.12
,27.7730;,-6.36;,3.81;,1333.26
,28.7560;,-7.39;,3.61;,1333.11
,29.7340;,-12.26;,3.59;,1332.98
,30.7140;,-15.91;,3.62;,1333.39
,32.0230;,-14.08;,3.55;,1333.35
,33.0020;,-9.47;,3.59;,1333.59
,33.9810;,-11.58;,3.58;,1333.67
,34.9640;,-15.28;,3.73;,1333.53
,35.9440;,-16.65;,3.82;,1333.35
,36.9230;,-8.86;,3.71;,1332.79
,37.9020;,-13.38;,3.75;,1332.66
,39.2100;,-10.72;,3.88;,1332.66
,40.1900;,-13.53;,4.29;,1332.55
,41.1700;,-9.55;,4.53;,1332.7
,42.1500;,-7.50;,4.48;,1333.14
,43.1330;,-6.21;,4.57;,1333.17
,44.1110;,-6.89;,5.12;,1333.04
,45.0910;,-0.40;,5.24;,1332.9
,46.0730;,-2.95;,5.33;,1332.91
,47.0540;,-4.00;,5.46;,1332.89
,48.0340;,0.64;,5.38;,1332.66
,49.0130;,5.98;,5.41;,1332.81
,50.1020;,2.40;,5.30;,1332.6
,51.0840;,-0.66;,5.40;,1332.43
,52.0620;,2.15;,5.33;,1332.13
,53.0420;,5.75;,5.17;,1332.22
,54.3500;,2.65;,5.32;,1332.47
,55.3300;,-0.96;,5.16;,1332.31
,56.3120;,-0.43;,5.36;,1332.15
,57.3990;,4.34;,5.30;,1332.16
,58.3790;,6.23;,5.20;,1332.28
,59.3610;,1.19;,5.44;,1332.8
,60.3400;,0.59;,5.57;,1332.62
,61.5380;,1.94;,5.45;,1332.63
,62.5190;,7.28;,5.32;,1332.72
,63.4980;,1.29;,5.33;,1332.48
,64.4790;,2.08;,5.60;,1332.62
,65.4610;,3.44;,5.53;,1332.61
,66.4400;,7.11;,5.21;,1332.65
,67.4190;,0.27;,5.22;,1333.11
,68.5090;,4.47;,5.45;,1333.14
,69.4890;,6.61;,5.59;,1333.58
,70.4710;,7.17;,6.22;,1333.56
,71.4510;,2.89;,6.92;,1333.19
,72.6480;,6.02;,6.84;,1333.26
,73.6280;,8.53;,4.63;,1332.84
,74.6080;,9.54;,5.05;,1332.69
,75.5880;,5.08;,5.44;,1332.53
,76.5680;,6.02;,5.53;,1332.24
,77.5490;,10.12;,5.38;,1332.66
,78.5310;,8.76;,5.31;,1333.01
,80.0540;,6.70;,5.54;,1332.94
,81.0340;,4.33;,5.19;,1333.04
,82.0150;,3.69;,5.47;,1333.08
,82.9950;,8.24;,5.48;,1333.18
,83.9770;,7.23;,5.56;,1333.3
,84.9550;,3.18;,6.03;,1333.01
,85.9380;,4.67;,7.13;,1332.89
,87.1340;,5.55;,7.05;,1332.58
,88.1130;,6.68;,4.76;,1332.67
,89.0960;,-1.26;,4.24;,1332.58
,90.0740;,-4.61;,4.46;,1332.83
,91.0550;,-3.83;,4.24;,1332.7
,92.0350;,-5.46;,4.13;,1332.79
,93.0150;,-12.52;,4.14;,1332.74
,93.9950;,-11.27;,4.21;,1332.72
,95.0860;,-11.80;,4.15;,1332.64
,96.0650;,-10.76;,3.99;,1332.83
,97.0450;,-16.03;,4.24;,1332.98
,98.0250;,-11.52;,4.21;,1333.01
,99.0050;,-10.30;,4.18;,1333.11
,99.9870;,-12.89;,4.50;,1333.02
,100.9680;,-15.12;,4.59;,1332.85
,102.3820;,-9.47;,4.39;,1332.87
,103.3620;,-10.26;,4.33;,1332.95
,104.3420;,-8.39;,4.20;,1332.96
,105.3220;,-14.91;,4.23;,1333.25
,106.3050;,-14.04;,4.29;,1333.27
,107.2830;,-9.93;,4.12;,1333.28
,108.2640;,-10.85;,4.02;,1333.19
,110.0060;,-14.08;,4.05;,1333.24
,110.9860;,-13.06;,3.94;,1333.37
,111.9670;,-16.02;,4.82;,1333.04
,113.7110;,-9.29;,3.95;,1333.27
,114.6900;,-16.37;,4.22;,1333.29
,115.6700;,-15.37;,3.97;,1333.4
,116.6510;,-12.39;,3.69;,1333.06
,117.6320;,-13.54;,3.66;,1332.94
,118.6120;,-17.33;,3.72;,1332.8
,119.5910;,-13.93;,3.66;,1332.95
,120.7890;,-18.17;,3.76;,1332.87
,121.7690;,-15.48;,3.76;,1332.9
,122.7490;,-18.81;,4.67;,1333.08
,123.7300;,-13.22;,4.22;,1333.21
,124.8200;,-11.70;,4.20;,1333
,125.7990;,-15.28;,4.09;,1333.16
,126.7810;,-15.67;,4.32;,1333.29
,127.7600;,-12.68;,3.99;,1333.13
,128.7410;,-9.45;,3.87;,1333.13
,129.7200;,-17.62;,3.86;,1333.16
,130.7020;,-15.54;,3.80;,1332.56
,132.1160;,-15.31;,3.59;,1332.43
,133.0960;,-12.84;,3.64;,1331.83
,134.0760;,-14.82;,3.62;,1331.99
,135.0590;,-18.30;,4.09;,1332.2
,136.0390;,-18.64;,4.12;,1332.4
,137.0180;,-12.76;,3.85;,1332.58
,137.9990;,-17.62;,3.85;,1332.18
,138.9800;,-17.99;,3.87;,1332.36
,139.9600;,-17.47;,3.83;,1332.34
,140.9390;,-13.69;,3.69;,1332.34
,141.9200;,-19.74;,3.78;,1331.94
,142.8980;,-16.00;,3.81;,1331.98
,143.8810;,-12.71;,3.74;,1332.27
,144.8590;,-14.84;,3.85;,1332.44
,145.8390;,-19.29;,4.09;,1332.97
,147.0390;,-15.60;,4.16;,1332.96
,148.0180;,-11.16;,3.97;,1332.97
,149.0000;,-14.54;,4.00;,1333
,150.7400;,-18.29;,4.24;,1332.84
,151.7210;,-14.98;,3.78;,1332.72
,152.7030;,-19.12;,3.75;,1332.49
,153.7920;,-16.91;,3.76;,1332.56
,154.7730;,-14.87;,3.69;,1332.5
,155.7510;,-15.89;,3.64;,1332.67
,156.7320;,-21.10;,3.93;,1332.59
,158.0380;,-17.37;,3.77;,1332.76
,159.0190;,-15.81;,3.68;,1332.6
,159.9980;,-15.22;,3.62;,1332.61
,160.9790;,-19.33;,4.02;,1332.57
,161.9610;,-20.88;,4.06;,1332.48
,162.9400;,-15.07;,3.60;,1332.56
,163.9200;,-16.09;,3.54;,1332.44
,164.9010;,-19.63;,3.61;,1332.39
,165.8820;,-18.29;,3.63;,1332.21
,166.8600;,-15.18;,3.42;,1332.23
,167.8410;,-17.69;,3.51;,1332.41
,169.2560;,-17.66;,3.56;,1332.39
,170.2360;,-21.25;,3.70;,1332.67
,171.2190;,-16.37;,3.64;,1332.5
,172.1970;,-15.67;,3.76;,1332.46
,173.1770;,-18.24;,3.77;,1332.43
,174.1590;,-19.07;,3.71;,1332.25
,175.1400;,-14.97;,3.54;,1332.47
,176.4440;,-19.99;,3.65;,1332.44
,177.4250;,-17.39;,3.66;,1332.56
,178.4050;,-20.02;,3.76;,1332.78
,179.3850;,-14.69;,3.73;,1332.83
,180.4770;,-18.20;,3.90;,1332.95
,181.4550;,-17.20;,3.88;,1333.24
,182.4370;,-19.77;,4.10;,1333.25
,184.1800;,-13.15;,3.75;,1333.03
,185.1580;,-17.75;,4.28;,1332.76
,186.1390;,-15.25;,3.87;,1333.03
,187.6630;,-17.51;,3.81;,1333
,188.6440;,-14.22;,3.58;,1333.13
,189.6230;,-16.53;,3.63;,1333.38
,190.6040;,-19.70;,3.71;,1333.23
,191.5860;,-18.25;,3.75;,1333.2
,192.5650;,-12.89;,4.22;,1333.07
,193.5450;,-11.24;,6.15;,1332.89
,194.5260;,-6.24;,7.47;,1332.86
,195.5070;,2.37;,8.71;,1332.98
,196.4850;,5.80;,9.85;,1332.83
,197.4650;,8.30;,10.67;,1332.73
